2024-05-25 22:37:19,466 INFO    StreamThr :1947224 [internal.py:wandb_internal():86] W&B internal server running at pid: 1947224, started at: 2024-05-25 22:37:19.466040
2024-05-25 22:37:19,467 DEBUG   HandlerThread:1947224 [handler.py:handle_request():146] handle_request: status
2024-05-25 22:37:19,470 INFO    WriterThread:1947224 [datastore.py:open_for_write():87] open: /home/uosai/Desktop/on-policy/onpolicy/scripts/results/StarCraft2/3m/rmappo/critic_feature_shaping_MAPPOv1/wandb/run-20240525_223719-ggtbdpvo/run-ggtbdpvo.wandb
2024-05-25 22:37:19,471 DEBUG   SenderThread:1947224 [sender.py:send():382] send: header
2024-05-25 22:37:19,490 DEBUG   SenderThread:1947224 [sender.py:send():382] send: run
2024-05-25 22:37:20,176 INFO    SenderThread:1947224 [dir_watcher.py:__init__():211] watching files in: /home/uosai/Desktop/on-policy/onpolicy/scripts/results/StarCraft2/3m/rmappo/critic_feature_shaping_MAPPOv1/wandb/run-20240525_223719-ggtbdpvo/files
2024-05-25 22:37:20,177 INFO    SenderThread:1947224 [sender.py:_start_run_threads():1136] run started: ggtbdpvo with start time 1716644239.466329
2024-05-25 22:37:20,184 DEBUG   HandlerThread:1947224 [handler.py:handle_request():146] handle_request: check_version
2024-05-25 22:37:20,184 DEBUG   SenderThread:1947224 [sender.py:send_request():409] send_request: check_version
2024-05-25 22:37:20,231 DEBUG   HandlerThread:1947224 [handler.py:handle_request():146] handle_request: run_start
2024-05-25 22:37:20,243 DEBUG   HandlerThread:1947224 [system_info.py:__init__():27] System info init
2024-05-25 22:37:20,243 DEBUG   HandlerThread:1947224 [system_info.py:__init__():42] System info init done
2024-05-25 22:37:20,243 INFO    HandlerThread:1947224 [system_monitor.py:start():194] Starting system monitor
2024-05-25 22:37:20,243 INFO    SystemMonitor:1947224 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-25 22:37:20,243 INFO    HandlerThread:1947224 [system_monitor.py:probe():214] Collecting system info
2024-05-25 22:37:20,244 INFO    SystemMonitor:1947224 [interfaces.py:start():190] Started cpu monitoring
2024-05-25 22:37:20,244 INFO    SystemMonitor:1947224 [interfaces.py:start():190] Started disk monitoring
2024-05-25 22:37:20,246 INFO    SystemMonitor:1947224 [interfaces.py:start():190] Started gpu monitoring
2024-05-25 22:37:20,247 INFO    SystemMonitor:1947224 [interfaces.py:start():190] Started memory monitoring
2024-05-25 22:37:20,247 INFO    SystemMonitor:1947224 [interfaces.py:start():190] Started network monitoring
2024-05-25 22:37:20,259 DEBUG   HandlerThread:1947224 [system_info.py:probe():151] Probing system
2024-05-25 22:37:20,267 DEBUG   HandlerThread:1947224 [system_info.py:_probe_git():136] Probing git
2024-05-25 22:37:20,279 DEBUG   HandlerThread:1947224 [system_info.py:_probe_git():144] Probing git done
2024-05-25 22:37:20,279 DEBUG   HandlerThread:1947224 [system_info.py:probe():199] Probing system done
